codigo_postal,tipo,localidad,precio(mxn_peso),habitaciones,baños,area(m2)
21395,Fraccionamiento,Villa Toledo,4350000,3,3,172
21399,Fraccionamiento,Nuevo Mexicali,2910000,3,2,115
21395,Fraccionamiento,Bugambilias,380000,2,1,120
21384,Fraccionamiento,Valle de Puebla 2da. Sección,1250000,2,1,61
21323,Fraccionamiento,Residencial Barcelona II,850000,3,2,170
21376,Fraccionamiento,Verona,5454000,3,3,156
21353,Fraccionamiento,Villa del Rey Tercera Etapa,1675000,4,3,95
21290,Colonia,Ampliación Independencia,3200000,2,1,139
21376,Fraccionamiento,Verona,5290000,4,3,212
21395,Fraccionamiento,Valle del Puebla,840000,3,2,156
21620,Colonia,Hechicera,1500000,3,1,125
21360,Colonia,Las Palmas,3750000,3,1,125
21297,Fraccionamiento,San Fernando,2580000,3,2,89
21353,Fraccionamiento,Gran Venecia,4500000,4,3,189
21270,Fraccionamiento,Jardines del Valle,14580000,4,3,460
21379,Fraccionamiento,Villa Bonita,2950000,3,2,122
21255,Fraccionamiento,Antares Residencial,5980000,3,2,180
21395,Fraccionamiento,Altaria Residencial,3878953,3,2,163
21399,Fraccionamiento,Valle Dorado,2650000,3,2,104
21210,Colonia,Estatutos Jurídicos,4452000,3,1,132
21030,Colonia,Nacozari,5900000,4,2,262
21355,Fraccionamiento,Villa las Lomas,625310,2,1,55
21355,Fraccionamiento,Quinta Roma (Quinta Córdova),3350000,3,2,185
21180,Fraccionamiento,Villafontana,6600000,3,3,250
21254,Fraccionamiento,San Pedro Residencial Segunda Sección,15650000,4,4,421
21379,Fraccionamiento,Jardines de La Arboleda,2450287,3,3,111
21379,Colonia,Rancho La Bodega,3250000,3,2,138
21379,Fraccionamiento,Residencial Ibiza,6450000,3,3,203
21258,Fraccionamiento,El Lienzo,4350000,4,3,185
21355,Fraccionamiento,Quinta Granada,1976000,3,2,80
21395,Fraccionamiento,Altaria Residencial,4450000,3,2,155
21225,Fraccionamiento,Cerrada del Sol,4700000,3,2,175
21399,Fraccionamiento,Nuevo Mexicali,493000,3,2,89
21600,Fraccionamiento,La Rioja,14500000,3,4,390
21120,Colonia,Pueblo Nuevo,4000000,3,3,200
21395,Fraccionamiento,Villa Toledo,7000000,3,2,309
21399,Colonia,González Ortega Poniente 3,3300000,4,2,331
21225,Fraccionamiento,Cerrada del Sol,6150000,3,2,200
21379,Fraccionamiento,Misión San Vizcaíno,2700000,3,2,143
